platform,source_url,product_id,handle,url,title,brand,product_type,tags,variant_id,variant_title,sku,price,compare_at_price,currency,options,available,image
woocommerce,https://containersolutionscs.de,3389,anhaenger-edition-35-125x250cm-240kg-typ-4-13-hochplane-160cm,https://containersolutionscs.de/produkt/anhaenger-edition-35-125x250cm-240kg-typ-4-13-hochplane-160cm/,Anhänger „Edition 35“ 125x250cm 240kg | Typ 4.13 | Hochplane 160cm,,Anhänger,,3389,Anhänger „Edition 35“ 125x250cm 240kg | Typ 4.13 | Hochplane 160cm,CL3ST2688,2150.00,2150.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/11-geb-2.webp
woocommerce,https://containersolutionscs.de,3367,variant-pkw-anhaenger-universaltransporter-3542-ux-kippbar3500-kg-ladeflaeche-420-x-210-m-mit-bordwaende,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-universaltransporter-3542-ux-kippbar3500-kg-ladeflaeche-420-x-210-m-mit-bordwaende/,"Variant PKW Anhänger Universaltransporter 3542 UX – kippbar,3500 kg, Ladefläche 4,20 x 2,10 m, mit Bordwände",,Anhänger,,3367,"Variant PKW Anhänger Universaltransporter 3542 UX – kippbar,3500 kg, Ladefläche 4,20 x 2,10 m, mit Bordwände",CL3ST2687,6800.00,6800.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100101_2_1920x1920.jpg
woocommerce,https://containersolutionscs.de,3358,humbaur-mtka-304222-universaltransporter-3000kg-ladeflaeche-420-x-218m-mit-rampevielseitiger-zweiachser-universaltransporter-mit-hydraulischer-kippbruecke-handpumpe-niedriger-ladeh,https://containersolutionscs.de/produkt/humbaur-mtka-304222-universaltransporter-3000kg-ladeflaeche-420-x-218m-mit-rampevielseitiger-zweiachser-universaltransporter-mit-hydraulischer-kippbruecke-handpumpe-niedriger-ladeh/,"Humbaur MTKA 304222 Universaltransporter 3000kg, Ladefläche4,20 x 2,18m mit Rampe",,Anhänger,,3358,"Humbaur MTKA 304222 Universaltransporter 3000kg, Ladefläche4,20 x 2,18m mit Rampe",CL3ST2686,6500.00,6500.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/15100003_3_1920x1920.png
woocommerce,https://containersolutionscs.de,3352,variant-pkw-anhaenger-bootsanhaenger-3502-bb-3500-kg,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-3502-bb-3500-kg/,"Variant PKW Anhänger Bootsanhänger 3502 BB, 3500 kg",,Bootsanhänger,,3352,"Variant PKW Anhänger Bootsanhänger 3502 BB, 3500 kg",CL3ST2685,5200.00,5200.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100084_1_Galerie-scaled.jpg
woocommerce,https://containersolutionscs.de,3348,variant-pkw-anhaenger-bootsanhaenger-2701-bb-2700-kg-fuer-boote-bis-24-fuss,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-2701-bb-2700-kg-fuer-boote-bis-24-fuss/,"Variant PKW Anhänger Bootsanhänger 2701 BB, 2700 kg, für Boote bis 24 Fuß",,Bootsanhänger,,3348,"Variant PKW Anhänger Bootsanhänger 2701 BB, 2700 kg, für Boote bis 24 Fuß",CL3ST2684,4200.00,4200.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100131_1_Galerie_1920x1920.jpg
woocommerce,https://containersolutionscs.de,3339,variant-pkw-anhaenger-bootsanhaenger-ocean-2000-2000-kg,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-ocean-2000-2000-kg/,"Variant PKW Anhänger Bootsanhänger Ocean 2000, 2000 kg",,Bootsanhänger,,3339,"Variant PKW Anhänger Bootsanhänger Ocean 2000, 2000 kg",CL3ST2683,4050.00,4050.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100009_1_Galerie_1920x1920.jpg
woocommerce,https://containersolutionscs.de,3334,variant-pkw-anhaenger-bootsanhaenger-ocean-1800-1800-kg,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-ocean-1800-1800-kg/,"Variant PKW Anhänger Bootsanhänger Ocean 1800, 1800 kg",,Anhänger,,3334,"Variant PKW Anhänger Bootsanhänger Ocean 1800, 1800 kg",CL3ST2682,3250.00,3250.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100008_1_Galerie.jpg
woocommerce,https://containersolutionscs.de,3329,variant-pkw-anhaenger-bootsanhaenger-1351-bb-1350-kg-fuer-boote-bis-19-fuss,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-1351-bb-1350-kg-fuer-boote-bis-19-fuss/,"Variant PKW Anhänger Bootsanhänger 1351 BB, 1350 kg, für Boote bis 19 Fuß",,Bootsanhänger,,3329,"Variant PKW Anhänger Bootsanhänger 1351 BB, 1350 kg, für Boote bis 19 Fuß",CL3ST2681,3200.00,3200.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100127_1_Galerie_1920x1920-1.jpg
woocommerce,https://containersolutionscs.de,3324,variant-pkw-anhaenger-bootsanhaenger-ocean-1500-1500-kg,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-ocean-1500-1500-kg/,"Variant PKW Anhänger Bootsanhänger Ocean 1500, 1500 kg",,Bootsanhänger,,3324,"Variant PKW Anhänger Bootsanhänger Ocean 1500, 1500 kg",CL3ST2680,2450.00,2450.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100007_1_Galerie_1920x1920.jpg
woocommerce,https://containersolutionscs.de,3316,variant-pkw-anhaenger-bootsanhaenger-ocean-1350-1350-kg,https://containersolutionscs.de/produkt/variant-pkw-anhaenger-bootsanhaenger-ocean-1350-1350-kg/,"Variant PKW Anhänger Bootsanhänger Ocean 1350, 1350 kg",,Bootsanhänger,,3316,"Variant PKW Anhänger Bootsanhänger Ocean 1350, 1350 kg",CL3ST2679,2250.00,2250.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/13100006_1_Galerie_1920x1920.jpg
